subject,trial,block,group,corrRT
3102,44,4,0,897
3102,45,4,0,655
3102,46,4,0,961
3102,47,4,0,1102
3102,48,4,0,766
3102,1,5,0,865.65625
3102,2,5,0,1085
3102,3,5,0,654
3102,4,5,0,680
3102,5,5,0,940
3102,6,5,0,1293
3102,7,5,0,961
3102,8,5,0,697
3102,9,5,0,749
3102,10,5,0,985
3102,11,5,0,696
3102,12,5,0,635
3102,13,5,0,745
3102,14,5,0,780
3102,15,5,0,936
3102,16,5,0,723
3102,17,5,0,707
3102,18,5,0,712
3102,19,5,0,928
3102,20,5,0,598
3102,21,5,0,926
3102,22,5,0,666
3102,23,5,0,678
3102,24,5,0,658
3102,25,5,0,639
3102,26,5,0,783
3102,27,5,0,787
3102,28,5,0,823
3102,29,5,0,737
3102,30,5,0,795
3102,31,5,0,684
3102,32,5,0,773
3102,33,5,0,795
3102,34,5,0,705
3102,35,5,0,909
3102,36,5,0,624
3102,37,5,0,924
3102,38,5,0,1026
3102,39,5,0,844
3102,40,5,0,854
3102,41,5,0,937
3102,42,5,0,764
3102,43,5,0,693
3102,44,5,0,703
3102,45,5,0,831
3102,46,5,0,914
3102,47,5,0,731
3102,48,5,0,828
3102,1,6,0,860
3102,2,6,0,1063
3102,3,6,0,659
3102,4,6,0,1247
3102,5,6,0,716
3102,6,6,0,624
3102,7,6,0,875
3102,8,6,0,736
3102,9,6,0,755
3102,10,6,0,685
3102,11,6,0,784
3102,12,6,0,865.65625
3102,13,6,0,813
3102,14,6,0,952
3102,15,6,0,1133
3102,16,6,0,722
3102,17,6,0,771
3102,18,6,0,762
3102,19,6,0,624
3102,20,6,0,657
3102,21,6,0,678
3102,22,6,0,811
3102,23,6,0,720
3102,24,6,0,816
3102,25,6,0,757
3102,26,6,0,624
3102,27,6,0,747
3102,28,6,0,1561
3102,29,6,0,724
3102,30,6,0,821
3102,31,6,0,805
3102,32,6,0,668
3102,33,6,0,658
3102,34,6,0,879
3102,35,6,0,736
3102,36,6,0,633
3102,37,6,0,668
3102,38,6,0,901
3102,39,6,0,852
3102,40,6,0,758
3102,41,6,0,791
3102,42,6,0,842
3102,43,6,0,715
3102,44,6,0,687
3102,45,6,0,930
3102,46,6,0,843
3102,47,6,0,732
3102,48,6,0,692
3103,1,1,0,780
3103,2,1,0,851
3103,3,1,0,760
3103,4,1,0,624
3103,5,1,0,995
3103,6,1,0,850
3103,7,1,0,748
